          Spillage                  T               Loss
  0.31871089339256   0.05641392990947   0.31934830546379
  0.29754489660263   0.05434787273407   0.29815897345543
  0.27765902876854   0.05239606648684   0.27825105190277
  0.25901418924332   0.05054626986384   0.25958532094955
  0.24160508811474   0.04878949001431   0.24215635657310
  0.22542841732502   0.04710612446070   0.22596067190170
  0.21044883131981   0.04546812549233   0.21096257865429
  0.19660249352455   0.04386184364557   0.19709809124470
  0.18381357192993   0.04229430854321   0.18429145216942
  0.17200781404972   0.04077713936567   0.17246855795383
  0.16111300885677   0.03931837528944   0.16155727207661
  0.15105924010277   0.03792189434171   0.15148772299290
  0.14177963137627   0.03658869117498   0.14219304919243
  0.13321053981781   0.03531828150153   0.13360960781574
  0.12529149651527   0.03410977870226   0.12567690014839
  0.11796639859676   0.03296250104904   0.11833884567022
  0.11118276417255   0.03187611699104   0.11154293268919
  0.10489220917225   0.03085041046143   0.10524079203606
  0.09905032813549   0.02988496422768   0.09938799589872
  0.09361658990383   0.02897899784148   0.09394402056932
  0.08855370432138   0.02813127078116   0.08887156099081
  0.08382712304592   0.02734011784196   0.08413603901863
  0.07940482348204   0.02660353109241   0.07970541715622
  0.07525645196438   0.02591924928129   0.07554931193590
  0.07135368138552   0.02528483793139   0.07163937389851
  0.06766895204782   0.02469775453210   0.06794801354408
  0.06417588144541   0.02415544725955   0.06444881111383
  0.06084952503443   0.02365536801517   0.06111680716276
  0.05766598507762   0.02319504693151   0.05792806670070
  0.05460286140442   0.02277209982276   0.05486016348004
  0.05164027214050   0.02238425053656   0.05189319327474
  0.04875992238522   0.02202933467925   0.04900883138180
  0.04594713822007   0.02170529961586   0.04619238525629
  0.04319096356630   0.02141016349196   0.04343287646770
  0.04048393294215   0.02114205434918   0.04072281718254
  0.03782256692648   0.02089915424585   0.03805870562792
  0.03521010652184   0.02067971602082   0.03544376790524
  0.03265402093530   0.02048203721642   0.03288544714451
  0.03016827441752   0.02030445821583   0.03039769455791
  0.02777195535600   0.02014535292983   0.02799957804382
  0.02548800408840   0.02000312134624   0.02571401931345
  0.02334260940552   0.01987620629370   0.02356719039381
  0.02136061526835   0.01976309716702   0.02158391848207
  0.01956282556057   0.01966237835586   0.01978499069810
  0.01796515658498   0.01957272179425   0.01818630844355
  0.01657603681087   0.01949289441109   0.01679628714919
  0.01539791841060   0.01942173764110   0.01561736501753
  0.01442713756114   0.01935815252364   0.01464586518705
  0.01365482248366   0.01930102333426   0.01387290470302
  0.01306719146669   0.01924923062325   0.01328468881547
  0.01264627277851   0.01920162327588   0.01286323182285
  0.01237122714520   0.01915702782571   0.01258768234402
  0.01221636217088   0.01911428943276   0.01243233494461
  0.01215607207268   0.01907231472433   0.01237157080323
  0.01216228026897   0.01903016492724   0.01237730216235
  0.01220895629376   0.01898709870875   0.01242349203676
  0.01227293629199   0.01894264109433   0.01248696912080
  0.01233503781259   0.01889659836888   0.01254855096340
  0.01238069869578   0.01884906738997   0.01259367447346
  0.01240076404065   0.01880038902164   0.01261319033802
  0.01239080727100   0.01875110343099   0.01260267663747
  0.01234997529536   0.01870187930763   0.01256128773093
  0.01228073239326   0.01865344494581   0.01249149814248
  0.01218770444393   0.01860652677715   0.01239794027060
  0.01207560021430   0.01856180280447   0.01228533033282
  0.01195084769279   0.01851985417306   0.01216010376811
  0.01181822083890   0.01848115026951   0.01202703919262
  0.01168369036168   0.01844603568316   0.01189211197197
  0.01155107654631   0.01841471716762   0.01175914425403
  0.01142456848174   0.01838728226721   0.01163232699037
  0.01130660809577   0.01836369372904   0.01151409931481
  0.01119959633797   0.01834382303059   0.01140686310828
  0.01110360585153   0.01832745596766   0.01131068821996
  0.01101986505091   0.01831430383027   0.01122679840773
  0.01094762701541   0.01830404996872   0.01115444488823
  0.01088587660342   0.01829634234309   0.01109260693192
  0.01083322800696   0.01829083263874   0.01103989593685
  0.01078930776566   0.01828717440367   0.01099593471736
  0.01075180154294   0.01828505285084   0.01095840428025
  0.01071974355727   0.01828418299556   0.01092633698136
  0.01069176476449   0.01828431524336   0.01089835911989
  0.01066709123552   0.01828524097800   0.01087369676679
  0.01064406614751   0.01828678324819   0.01085068844259
  0.01062262337655   0.01828879863024   0.01082926895469
  0.01060106139630   0.01829116418958   0.01080773398280
  0.01057974994183   0.01829378120601   0.01078645139933
  0.01055782102048   0.01829656586051   0.01076455414295
  0.01053501944989   0.01829944178462   0.01074178516865
